id,name,link,regular_price,promo_price,city
241733,"Кофе Coffesso Massimo зерновой, 1кг",https://online.metro-cc.ru/products/1kg-kofe-coffesso-massimo-zerno,2 599,1 299,Москва
226340,"Кофе Lebo Extra в зернах, 1кг",https://online.metro-cc.ru/products/1kg-kofe-lebo-extra-v-zernah,1 889,1 499,Москва
218856,"Кофе Carte Noire Crema Delice в зернах, 800г",https://online.metro-cc.ru/products/800g-kofe-carte-noire-crema-delice-zerno,2 239,1 499,Москва
243161,"Кофе Живой кофе Rio-Rio Бразилия зерновой, 800г",https://online.metro-cc.ru/products/800g-zhivoy-kofe-rio-rio-braziliya-zerno,2 899,1 299,Москва
228781,"Кофе Fresco Liberty в зернах, 900г",https://online.metro-cc.ru/products/900g-kofe-fresco-liberty-zerno,1 859,1 199,Москва
241735,"Кофе Coffesso Crema зерновой, 1кг",https://online.metro-cc.ru/products/1kg-kofe-coffesso-crema-zerno,2 169,1 199,Москва
611604,"Кофе Illy темная обжарка в зернах, 250г",https://online.metro-cc.ru/products/v-zernah-illy-temnaya-obzharka-250g,1 679,1 099,Москва
624061,"Кофе Жокей классический в зернах, 900г",https://online.metro-cc.ru/products/art-624061,1 169,1 099,Москва
246090,"Кофе Живой кофе арабика зерновой, 800г",https://online.metro-cc.ru/products/kofe-zhivoy-kofe-arabika-zernovoy-800g,2 399,1 099,Москва
215436,"Кофе Lebo Classic Original жареный в зернах, 100г",https://online.metro-cc.ru/products/100g-kofe-lebo-original-zharenyy-v-zernah,199,149,Москва
544095,"Кофе Жокей Традиционный в зернах, 900г",https://online.metro-cc.ru/products/zhokej-tradicionnyj-900g,1 359,999,Москва
226343,"Кофе Lebo Classic в зернах, 250г",https://online.metro-cc.ru/products/250g-kofe-lebo-classic-v-zernah,629,399,Москва
241736,"Кофе Coffesso Allure зерновой, 1кг",https://online.metro-cc.ru/products/1kg-kofe-coffesso-allure-zerno,2 259,1 249,Москва
107073,"Кофе Carraro Crema Italiano в зернах, 1кг",https://online.metro-cc.ru/products/v-zernah-caffe-carraro-crema-italiano-1-kg,2 399,2 099,Москва
611606,"Кофе Illy средней обжарки в зернах, 250г",https://online.metro-cc.ru/products/v-zernah-illy-srednej-obzharki-250g,1 679,999,Москва
246066,"Кофе Alta Roma Blend №1, 1кг",https://online.metro-cc.ru/products/1kg-kofe-alta-roma-blend-1-zernovoy,1 599,1 399,Москва
246965,"Кофе Cagliari Gran Rossa в зернах, 1кг",https://online.metro-cc.ru/products/kofe-cagliari-gran-rossa-v-zernah-1kg,3 999,2 199,Москва
235415,"Кофе Miscela D'Oro Espresso Gusto Classico в зернах, 1кг",https://online.metro-cc.ru/products/kofe-miscela-doro-espresso-gusto-classico-v-zernah-1kg,2 799,2 199,Москва
257435,"Кофе Italco Espresso Alpino Espresso Classic зерновой, 1кг",https://online.metro-cc.ru/products/1kg-kofe-italco-espresso-alpino-espresso-classic-zerno,2 849,2 299,Москва
201556,"Кофе Carte Noire Intense Absolu в зернах, 800г",https://online.metro-cc.ru/products/800g-kofe-carte-noire-intense-absolu-zernovoy,2 239,1 499,Москва
624874,"Кофе Origo Grande Barista в зернах, 1кг",https://online.metro-cc.ru/products/art-624874,3 399,2 699,Москва
508641,"Кофе Egoiste Noir в зернах, 250г",https://online.metro-cc.ru/products/egoiste-naturalnyj-zharenyj-v-zernah-noir-250g,679,499,Москва
616877,"Кофе Egoiste Noir в зернах, 250г x 12 шт",https://online.metro-cc.ru/products/egoiste-noir-zernovoj-250g,8 148,,Москва
